OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
234925;5;3;15;0;2019;2;7;5;3;5;2;0;1;1;0;0;0;0;355100,9955;5641289,038;6,939129986;50,90504998;0
234926;5;3;15;0;2019;2;18;5;3;2;6;2;0;1;0;0;0;0;355967,874;5644649,983;6,950123722;50,93547127;0
234990;5;3;15;0;2019;2;10;4;3;2;6;0;0;1;0;0;0;0;365870,374;5636004,206;7,094145869;50,86015415;0
234991;5;3;15;0;2019;2;13;4;3;1;5;0;1;1;0;0;0;0;360071,9259;5647861,002;7,007260545;50,96533954;0
234992;5;3;15;0;2019;2;15;4;3;0;7;0;0;1;0;0;0;0;366108,4919;5647863,006;7,093175503;50,9667922;0
234993;5;3;15;0;2019;2;15;4;3;6;4;0;0;1;1;0;0;0;354906,4657;5647921,329;6,933724543;50,96460391;0
234994;5;3;15;0;2019;2;8;4;3;5;3;0;1;1;0;0;0;0;347760,144;5646099,732;6,832791766;50,94639076;0
234995;5;3;15;0;2019;2;15;4;3;0;1;0;1;0;0;0;0;0;354282,7866;5641757,174;6,927313987;50,90905108;0
234996;5;3;15;0;2019;2;18;4;3;1;2;2;1;1;0;0;0;0;355774,6787;5644455,913;6,94745284;50,93367891;0
235050;5;3;15;0;2019;2;21;3;3;6;4;2;0;1;1;0;0;0;355839,5226;5649144,305;6,946518272;50,97582874;0
235051;5;3;15;0;2019;2;7;3;3;0;1;0;1;0;0;0;0;0;351660,894;5656153,324;6,884174177;51,03775315;2
235052;5;3;15;0;2019;2;8;3;2;0;3;0;1;1;0;0;0;0;351951,1556;5655032,403;6,888769222;51,02775504;1
235053;5;3;15;0;2019;2;20;3;3;5;2;2;0;1;0;1;0;0;352928,0303;5645844,613;6,906408718;50,94543972;0
235054;5;3;15;0;2019;2;9;3;3;1;6;0;0;1;0;0;0;0;357046,859;5639886,403;6,967335966;50,89292962;2
235055;5;3;15;0;2019;2;19;3;3;4;6;2;1;1;0;0;0;0;355794,0619;5643661,192;6,948042898;50,92654174;0
235109;5;3;15;0;2019;2;15;3;3;3;2;0;1;1;0;0;1;0;351682,4116;5646055,729;6,888603994;50,94701779;0
235110;5;3;15;0;2019;2;14;3;3;1;7;0;0;1;0;1;0;0;352493,0306;5644847,099;6,900624769;50,93636438;0
235111;5;3;15;0;2019;2;12;3;3;1;5;0;1;0;0;0;0;0;358834,6595;5640063,749;6,992671552;50,89496318;0
235178;5;3;15;0;2019;2;20;2;3;0;5;2;1;1;0;0;0;0;359531,7718;5644898,14;7,000716289;50,93858058;0
235179;5;3;15;0;2019;2;19;2;2;6;4;2;0;1;1;0;0;0;359560,6928;5644984,526;7,001094356;50,93936398;0
235180;5;3;15;0;2019;2;9;2;3;3;6;0;1;0;0;0;1;0;357663,2956;5645602,093;6,973864882;50,9444488;0
235181;5;3;15;0;2019;2;17;2;3;6;7;0;0;0;1;0;0;1;362039,5641;5649636,86;7,034590474;50,98177418;0
235182;5;3;15;0;2019;2;18;2;2;5;2;0;1;1;0;0;0;0;356097,3775;5647671,174;6,950771597;50,96265452;0
235183;5;3;15;0;2019;2;13;2;3;0;7;0;1;0;0;0;0;0;357246,5653;5642744,537;6,969055953;50,91866505;0
235184;5;3;15;0;2019;2;16;2;3;6;2;0;0;1;1;0;0;0;355799,932;5644902,787;6,947635154;50,93770121;0
235241;5;3;15;0;2019;2;15;1;3;5;2;0;0;1;0;0;0;0;359355,3221;5643119,71;6,998892719;50,9225546;0
235242;5;3;15;0;2019;2;18;1;3;3;2;2;1;1;0;0;0;0;356528,265;5646354,067;6,957422612;50,95092534;0
235279;5;3;15;0;2019;2;13;7;3;6;4;0;1;0;1;0;0;0;360108,6177;5648362,169;7,007589997;50,96985249;0
235280;5;3;15;0;2019;2;14;7;3;2;2;0;0;1;0;0;0;0;353269,624;5653255,203;6,908276639;51,01212235;0
235281;5;3;15;0;2019;2;19;7;3;6;4;1;1;0;1;0;0;0;355549,618;5644998,429;6,944037029;50,93849807;0
235356;5;3;15;0;2019;2;16;1;3;4;3;0;1;0;0;0;0;0;366408,887;5636410,617;7,101644761;50,86393154;0
235357;5;3;15;0;2019;2;4;1;3;0;5;2;0;1;0;0;0;0;359377,5476;5650060,602;6,996527501;50,98493835;0
235358;5;3;15;0;2019;2;15;1;3;1;5;0;0;1;0;0;0;0;354044,6895;5649863,065;6,920681228;50,98183587;0
235359;5;3;15;0;2019;2;2;1;3;1;7;2;1;1;0;0;0;0;355885,6764;5647735,826;6,947733352;50,96318262;0
235360;5;3;15;0;2019;2;17;1;3;5;2;0;0;1;1;0;0;0;356685,0193;5644719,715;6,960295832;50,93627661;0
235394;5;3;15;0;2019;2;17;7;2;8;1;1;0;0;0;1;0;0;366535,9377;5635317,713;7,103847659;50,8541381;0
235395;5;3;15;0;2019;2;12;7;3;0;7;0;1;0;0;0;0;0;358397,9941;5645741,719;6,984261946;50,94588454;0
235396;5;3;15;0;2019;2;13;7;3;0;1;0;1;0;0;0;0;0;354733,1804;5644292,195;6,932706257;50,93194624;0
235397;5;3;15;0;2019;2;21;7;2;0;7;2;0;1;0;0;0;0;355946,3511;5644891,294;6,949722218;50,93763452;0
235456;5;3;15;0;2019;2;10;6;3;0;7;0;0;0;1;0;0;1;360957,659;5643742,928;7,021438662;50,928544;0
235457;5;3;15;0;2019;2;19;6;3;3;5;2;0;1;0;1;0;0;352444,2044;5645071,7;6,899839401;50,93837028;0
235503;5;3;15;0;2019;2;17;5;3;4;2;0;0;1;0;0;0;0;363670,634;5642095,184;7,06063615;50,91438252;0
235504;5;3;15;0;2019;2;15;5;3;6;4;0;0;1;1;0;0;0;360192,6377;5646191,425;7,009619877;50,95036414;0
235505;5;3;15;0;2019;2;10;5;3;1;1;0;1;1;0;0;0;0;360568,0137;5646631,63;7,014791919;50,95441126;0
235507;5;3;15;0;2019;2;13;5;2;6;4;0;0;1;1;0;0;0;356766,0179;5648939,677;6,959787289;50,97422097;0
235508;5;3;15;0;2019;2;16;5;3;5;3;0;0;1;0;0;0;0;356930,441;5636597,673;6,966968681;50,86334492;0
235509;5;3;15;0;2019;2;5;5;2;5;2;2;0;1;0;0;0;1;356946,1447;5640676,008;6,965595584;50,90000085;0
235510;5;3;15;0;2019;2;18;5;2;0;1;2;1;0;0;0;0;0;356948,6364;5644179,303;6,964257302;50,93148542;1
235570;5;3;15;0;2019;2;13;4;3;5;2;0;1;1;0;0;0;0;364021,8176;5640158,38;7,06635039;50,89705831;0
235571;5;3;15;0;2019;2;8;4;3;5;3;0;0;1;0;0;0;1;361378,5317;5644542,695;7,027119669;50,93583301;0
235572;5;3;15;0;2019;2;16;4;3;5;3;0;1;1;0;0;0;0;362648,1701;5649677,472;7,043240018;50,98228468;0
235573;5;3;15;0;2019;2;20;4;3;4;6;2;1;1;0;0;0;0;354835,9149;5644908,18;6,933921889;50,9375078;1
235596;5;3;15;0;2019;2;8;5;3;5;3;0;1;1;0;0;0;0;359704,7671;5638905,611;7,0054809;50,88476677;0
