OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
206400;5,20043E+18;5;3;15;0;2020;4;17;4;3;5;3;0;1;1;0;0;0;0;361060,3812;5648840,53;7,020954089;50,97438197;1
206402;5,20043E+18;5;3;15;0;2020;4;10;4;3;5;3;0;1;1;0;0;0;0;351598,3778;5648321,405;6,886484787;50,96735654;0
206404;5,20043E+18;5;3;15;0;2020;4;9;4;3;5;3;0;1;1;0;0;0;0;356850,657;5644296,877;6,962817737;50,93251774;0
206425;5,2005E+18;5;3;15;0;2020;5;16;6;3;5;3;0;1;0;0;0;0;0;358215,9248;5642122,151;6,983079691;50,91331063;0
206427;5,2005E+18;5;3;15;0;2020;5;13;6;3;6;7;0;0;1;1;0;0;0;354003,6401;5644539,716;6,92223229;50,93398643;0
206437;5,2005E+18;5;3;15;0;2020;5;16;2;3;3;6;0;0;1;0;1;0;0;356172,6328;5645399,395;6,952740036;50,94225723;0
206474;5,20043E+18;5;3;15;0;2020;4;7;5;3;0;1;0;1;0;0;0;0;0;348498,887;5644863,267;6,84381435;50,93547423;1
206475;5,20043E+18;5;3;15;0;2020;4;9;5;3;2;6;0;0;1;0;0;0;0;358873,0923;5640012,807;6,993237379;50,89451475;0
206477;5,20043E+18;5;3;15;0;2020;4;1;5;3;0;1;2;1;0;0;0;0;0;355507,255;5642316,027;6,944497542;50,91438121;1
206479;5,20043E+18;5;3;15;0;2020;4;16;5;3;4;6;0;1;1;0;0;0;0;353847,0497;5641435,593;6,921249176;50,90605096;1
206481;5,20043E+18;5;3;15;0;2020;4;16;5;2;5;3;0;0;0;0;1;0;1;352951,1103;5643823,335;6,907552703;50,9272812;1
206499;5,20051E+18;5;3;15;0;2020;5;10;5;3;1;7;0;1;1;0;0;0;0;353044,0179;5647061,96;6,907567292;50,95640908;0
206503;5,20051E+18;5;3;15;0;2020;5;14;6;3;6;2;0;0;1;1;0;0;0;354247,5078;5642895,89;6,926357638;50,91927552;0
206515;5,20051E+18;5;3;15;0;2020;5;16;7;3;5;2;0;1;1;0;0;0;0;359611,9434;5636163,379;7,005214772;50,86009913;0
