OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
157589;5,21E+18;5;3;15;0;2021;11;15;3;3;5;2;0;1;0;1;0;1;0;0;354767,3818;5641450,969;6,93432393;50,9064214
157592;5,21E+18;5;3;15;0;2021;4;8;5;3;0;7;0;0;0;0;1;0;0;1;353960,7311;5643252,934;6,922137522;50,92241166
157593;5,21E+18;5;3;15;0;2021;9;6;4;3;4;6;0;0;1;0;0;0;0;1;351220,209;5646126,076;6,882000303;50,94753087
157594;5,21E+18;5;3;15;0;2021;6;16;3;3;0;7;0;0;0;1;1;0;0;0;352941,841;5654486,405;6,90310807;51,02310276
157595;5,21E+18;5;3;15;0;2021;3;15;2;3;6;4;0;0;0;1;1;0;0;0;354318,4823;5643277,59;6,92721423;50,92272367
157599;5,21E+18;5;3;15;0;2021;10;18;4;2;4;2;2;0;0;1;0;1;0;0;355290,103;5641928,925;6,941564064;50,91084798
157600;5,21E+18;5;3;15;0;2021;9;3;7;3;0;1;2;0;0;0;0;0;0;1;354751,7525;5644894,661;6,932730253;50,93736512
157602;5,21E+18;5;3;15;0;2021;10;13;7;3;3;5;0;0;1;1;0;0;0;0;353898,8513;5643708,228;6,921075286;50,92648758
157603;5,21E+18;5;3;15;0;2021;7;17;7;3;6;7;0;0;0;1;1;0;0;0;352516,5581;5647037,994;6,900072151;50,95605896
157604;5,21E+18;5;3;15;0;2021;4;10;1;3;6;4;0;0;1;0;1;0;0;0;354102,8304;5641919,01;6,924691381;50,91046
157605;5,21E+18;5;3;15;0;2021;5;14;7;3;2;6;0;0;1;0;0;0;0;0;355038,9048;5642861,746;6,937622712;50,91916802
157608;5,21E+18;5;3;15;0;2021;6;21;6;2;5;2;2;1;0;1;0;1;0;0;353338,3344;5647132,466;6,911726527;50,95711766
157610;5,21E+18;5;3;15;0;2021;7;17;4;3;5;5;0;0;0;1;0;1;0;0;355422,8886;5640832,177;6,943885974;50,90102494
157611;5,21E+18;5;3;15;0;2021;12;13;3;3;2;6;0;0;0;1;0;0;0;0;351687,2933;5652020,265;6,886240618;51,00061889
157614;5,21E+18;5;3;15;0;2021;3;12;2;3;1;5;0;0;0;1;0;0;0;0;355095,8877;5640900,166;6,939211736;50,90155398
157615;5,21E+18;5;3;15;0;2021;11;21;2;3;5;3;2;1;0;1;0;0;0;0;352440,7431;5645914,093;6,899448939;50,94593958
157617;5,21E+18;5;3;15;0;2021;5;18;1;3;1;5;0;0;1;1;0;0;0;0;355846,4814;5644268,933;6,948547957;50,93201651
