OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE,Participants
96642,5,3,15,0,2019,Januar,13,Samstag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Tageslicht,0,1,1,0,0,0,"347939,9495","5648316,521",6.834423328,50.96635859,nass/feucht,,"Fuss, PKW"
96644,5,3,15,0,2019,Januar,19,Samstag,Unfall mit Schwerverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Dunkelheit,0,1,1,0,0,0,"355068,1436","5644209,069",6.93750287,50.93128347,nass/feucht,,"Fuss, PKW"
96723,5,3,15,0,2019,Januar,23,Samstag,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"348616,6951","5655808,802",6.840930038,51.03386335,nass/feucht,,PKW
96755,5,3,15,0,2019,Januar,17,Freitag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall im Längsverkehr,Dunkelheit,0,1,0,0,0,0,"363800,2065","5641072,456",7.062859963,50.90522136,trocken,,PKW
96756,5,3,15,0,2019,Januar,18,Freitag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Überschreiten-Unfall,Dunkelheit,0,1,1,0,0,0,"352404,1627","5647315,773",6.898360326,50.95852645,trocken,,"Fuss, PKW"
96757,5,3,15,0,2019,Januar,16,Freitag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Dämmerung,0,1,0,0,0,0,"358616,3485","5636993,276",6.990756874,50.86731499,trocken,,PKW
96758,5,3,15,0,2019,Januar,11,Freitag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Tageslicht,0,1,0,0,0,0,"353131,633","5643697,914",6.910170164,50.92620008,trocken,,PKW
96759,5,3,15,0,2019,Januar,7,Freitag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dämmerung,1,1,0,0,0,0,"355890,406","5644647,446",6.94902295,50.93542912,trocken,,"Rad, PKW"
96839,5,3,15,0,2019,Januar,8,Donnerstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Unfall im Längsverkehr,Tageslicht,0,1,0,0,0,0,"363212,3553","5638361,597",7.055519338,50.88071858,nass/feucht,,PKW
96840,5,3,15,0,2019,Januar,14,Donnerstag,Unfall mit Leichtverletzten,Unfall anderer Art,Sonstiger Unfall,Tageslicht,0,1,0,0,0,1,"365355,8869","5642912,903",7.084293587,50.92212749,nass/feucht,,"PKW, Sonstige"
96841,5,3,15,0,2019,Januar,11,Donnerstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,0,1,0,0,0,0,"366220,4322","5642674,863",7.096674312,50.92018917,nass/feucht,,PKW
96842,5,3,15,0,2019,Januar,6,Donnerstag,Unfall mit Leichtverletzten,Zusammenstoß mit vorausfahrendem / wartendem Fahrzeug,Unfall im Längsverkehr,Dunkelheit,0,1,0,0,0,0,"361778,1245","5647974,964",7.031500076,50.96677565,nass/feucht,,PKW
96843,5,3,15,0,2019,Januar,11,Donnerstag,Unfall mit Leichtverletzten,Unfall anderer Art,Unfall im Längsverkehr,Tageslicht,0,1,0,0,0,0,"354227,4436","5645101,123",6.925190559,50.93908824,nass/feucht,,PKW
96845,5,3,15,0,2019,Januar,18,Donnerstag,Unfall mit Schwerverletzten,Unfall anderer Art,Fahrunfall,Dunkelheit,0,1,0,0,0,1,"354924,9968","5643340,178",6.935812941,50.92343896,trocken,,"PKW, Sonstige"
96867,5,3,15,0,2019,Januar,16,Sonntag,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"348035,7203","5659461,04",6.831117341,51.06652896,nass/feucht,,PKW
96929,5,3,15,0,2019,Januar,13,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Tageslicht,0,1,0,0,0,1,"366181,93","5638356,865",7.097709399,50.88137142,nass/feucht,,"PKW, Sonstige"
96930,5,3,15,0,2019,Januar,12,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall,Tageslicht,0,1,1,0,0,0,"357478,6996","5644889,432",6.971517768,50.93799854,nass/feucht,,"Fuss, PKW"
96931,5,3,15,0,2019,Januar,14,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Tageslicht,1,1,0,0,0,0,"361640,4563","5650139,348",7.028716991,50.98619437,nass/feucht,,"Rad, PKW"
96932,5,3,15,0,2019,Januar,17,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Überschreiten-Unfall,Dunkelheit,0,1,1,0,0,0,"360847,7102","5646064,862",7.01898827,50.94938521,nass/feucht,,"Fuss, PKW"
96933,5,3,15,0,2019,Januar,7,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Abbiegeunfall,Dämmerung,0,1,0,0,0,0,"353044,1277","5643881,798",6.908851796,50.92783029,nass/feucht,,PKW
96934,5,3,15,0,2019,Januar,18,Dienstag,Unfall mit Leichtverletzten,Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug,Einbiegen / Kreuzen-Unfall,Dunkelheit,0,1,0,0,0,0,"356053,4715","5644118,824",6.951550904,50.9307192,nass/feucht,,PKW
97031,5,3,15,0,2019,Januar,19,Montag,Unfall mit Leichtverletzten,Zusammenstoß zwischen Fahrzeug und Fußgänger,Abbiegeunfall,Dunkelheit,0,1,1,0,0,0,"362235,9782","5644014,918",7.039514811,50.93129518,nass/feucht,,"Fuss, PKW"
97032,5,3,15,0,2019,Januar,3,Montag,Unfall mit Schwerverletzten,Zusammenstoß mit anfahrendem/ anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall,Dunkelheit,0,0,1,0,0,1,"355490,2546","5643963,193",6.943603181,50.92917974,nass/feucht,,"Fuss, Sonstige"
97058,5,3,15,0,2019,Januar,22,Montag,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"349991,2605","5642905,317",6.865843768,50.91826949,nass/feucht,,PKW
97059,5,3,15,0,2019,Januar,17,Montag,Unfall mit Schwerverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Dunkelheit,0,1,0,0,0,0,"349995,3478","5642902,22",6.865903147,50.91824273,nass/feucht,,PKW
97060,5,3,15,0,2019,Januar,12,Montag,Unfall mit Leichtverletzten,Abkommen von Fahrbahn nach links,Fahrunfall,Tageslicht,0,1,0,0,0,0,"352459,195","5651154,421",6.897585635,50.99303649,nass/feucht,,PKW
