OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,USTRZUSTAND,UIDENTSTLAE
96756,5,3,15,0,2019,1,18,5,3,6,4,2,0,1,1,0,0,0,"352404,1627","5647315,773",6.898360326,50.95852645,0,
96757,5,3,15,0,2019,1,16,5,3,2,6,1,0,1,0,0,0,0,"358616,3485","5636993,276",6.990756874,50.86731499,0,
96758,5,3,15,0,2019,1,11,5,3,2,6,0,0,1,0,0,0,0,"353131,633","5643697,914",6.910170164,50.92620008,0,
96759,5,3,15,0,2019,1,7,5,3,5,3,1,1,1,0,0,0,0,"355890,406","5644647,446",6.94902295,50.93542912,0,
96839,5,3,15,0,2019,1,8,4,3,1,6,0,0,1,0,0,0,0,"363212,3553","5638361,597",7.055519338,50.88071858,1,
96840,5,3,15,0,2019,1,14,4,3,0,7,0,0,1,0,0,0,1,"365355,8869","5642912,903",7.084293587,50.92212749,1,
96841,5,3,15,0,2019,1,11,4,3,5,3,0,0,1,0,0,0,0,"366220,4322","5642674,863",7.096674312,50.92018917,1,
96842,5,3,15,0,2019,1,6,4,3,2,6,2,0,1,0,0,0,0,"361778,1245","5647974,964",7.031500076,50.96677565,1,
96843,5,3,15,0,2019,1,11,4,3,0,6,0,0,1,0,0,0,0,"354227,4436","5645101,123",6.925190559,50.93908824,1,
96845,5,3,15,0,2019,1,18,4,2,0,1,2,0,1,0,0,0,1,"354924,9968","5643340,178",6.935812941,50.92343896,0,
96867,5,3,15,0,2019,1,16,7,2,9,1,2,0,1,0,0,0,0,"348035,7203","5659461,04",6.831117341,51.06652896,1,
96929,5,3,15,0,2019,1,13,2,3,5,2,0,0,1,0,0,0,1,"366181,93","5638356,865",7.097709399,50.88137142,1,
96930,5,3,15,0,2019,1,12,2,3,1,7,0,0,1,1,0,0,0,"357478,6996","5644889,432",6.971517768,50.93799854,1,
96931,5,3,15,0,2019,1,14,2,3,5,3,0,1,1,0,0,0,0,"361640,4563","5650139,348",7.028716991,50.98619437,1,
96932,5,3,15,0,2019,1,17,2,3,1,4,2,0,1,1,0,0,0,"360847,7102","5646064,862",7.01898827,50.94938521,1,
96933,5,3,15,0,2019,1,7,2,3,5,2,1,0,1,0,0,0,0,"353044,1277","5643881,798",6.908851796,50.92783029,1,
96934,5,3,15,0,2019,1,18,2,3,5,3,2,0,1,0,0,0,0,"356053,4715","5644118,824",6.951550904,50.9307192,1,
97031,5,3,15,0,2019,1,19,1,3,6,2,2,0,1,1,0,0,0,"362235,9782","5644014,918",7.039514811,50.93129518,1,
97032,5,3,15,0,2019,1,3,1,2,1,7,2,0,0,1,0,0,1,"355490,2546","5643963,193",6.943603181,50.92917974,1,
97058,5,3,15,0,2019,1,22,1,3,9,1,2,0,1,0,0,0,0,"349991,2605","5642905,317",6.865843768,50.91826949,1,
97059,5,3,15,0,2019,1,17,1,2,9,1,2,0,1,0,0,0,0,"349995,3478","5642902,22",6.865903147,50.91824273,1,
97060,5,3,15,0,2019,1,12,1,3,9,1,0,0,1,0,0,0,0,"352459,195","5651154,421",6.897585635,50.99303649,1,
97067,5,3,15,0,2019,1,5,3,3,2,6,2,0,1,0,0,0,0,"365950,6525","5634289,302",7.095913743,50.84475963,0,
97088,5,3,15,0,2019,1,6,7,2,4,6,2,1,1,0,0,0,0,"361550,9459","5640511,867",7.031101828,50.89964813,1,
97089,5,3,15,0,2019,1,15,7,3,1,6,0,0,1,0,0,0,1,"355880,8377","5646808,607",6.948031688,50.95484868,1,
97090,5,3,15,0,2019,1,15,7,3,0,7,0,0,0,1,0,0,1,"355611,027","5643680,797",6.945432455,50.92667214,1,
97153,5,3,15,0,2019,1,19,3,2,2,6,0,0,0,0,0,1,1,"359427,8563","5641492,3",7.000551129,50.9079465,0,
97198,5,3,15,0,2019,1,9,5,3,2,6,0,0,1,0,0,0,0,"360923,265","5645945,54",7.020108777,50.94833107,0,
97267,5,3,15,0,2019,1,19,5,3,2,6,2,0,1,0,0,0,0,"365248,7902","5640270,104",7.083746598,50.89835006,1,
97268,5,3,15,0,2019,1,17,5,2,1,6,2,0,1,0,0,0,0,"363922,7299","5642670,385",7.064005601,50.91961164,1,
97304,5,3,15,0,2019,1,15,4,3,5,2,0,0,1,0,0,0,0,"363559,8306","5645436,385",7.057810298,50.94438519,0,
97305,5,3,15,0,2019,1,9,4,3,5,3,0,1,1,0,0,0,0,"356368,7204","5641102,424",6.957221707,50.90368969,0,
97390,5,3,15,0,2019,1,8,3,3,6,7,1,0,1,1,0,0,0,"362742,5204","5645205,499",7.04627032,50.94211613,0,
97392,5,3,15,0,2019,1,16,3,3,2,6,1,0,1,0,0,0,0,"365226,4666","5649546,256",7.079997676,50.98171471,1,
97395,5,3,15,0,2019,1,7,3,2,4,2,0,0,1,0,1,0,0,"353227,2178","5645188,096",6.910929195,50.93961611,0,
97397,5,3,15,0,2019,1,7,3,3,5,2,1,1,1,0,0,0,0,"354186,5999","5644948,993",6.924670512,50.93771076,1,
97400,5,3,15,0,2019,1,18,3,1,3,2,2,1,0,0,0,0,1,"358660,497","5639684,624",6.990343334,50.89151334,0,
97403,5,3,15,0,2019,1,18,3,1,6,4,2,0,0,1,0,0,1,"354395,9664","5642619,99",6.928578432,50.91683355,0,
97404,5,3,15,0,2019,1,7,3,3,6,2,0,0,1,1,0,0,0,"354059,0469","5642117,046",6.923989821,50.91222863,0,
97429,5,3,15,0,2019,1,8,6,3,3,6,0,0,1,0,0,1,0,"363046,7232","5644171,712",7.050986246,50.93289742,0,
97430,5,3,15,0,2019,1,13,6,3,2,6,0,0,1,0,0,0,0,"358617,9659","5640473,014",6.989433825,50.89858829,0,
97520,5,3,15,0,2019,1,8,2,3,6,4,0,0,1,1,0,0,0,"362706,9988","5637220,73",7.048768342,50.87034521,0,
97521,5,3,15,0,2019,1,15,2,3,2,6,0,0,1,0,0,0,0,"361510,26","5647894,877",7.027718163,50.96599155,0,
